ID	iBAQ.B_bacteriovorus_WCE1_TR01	iBAQ.B_bacteriovorus_WCE1_TR02	iBAQ.B_bacteriovorus_WCE2_TR01	iBAQ.B_bacteriovorus_WCE2_TR02	PFAM_DNA_binding.x	Nuc_vs_Top_ratio	Final_Localization
CAE78440.1	743040000	749020000	1070800000	1.03E+09	0	5.12	Unknown
CAE78441.1	6715500	7160000	6721300	7280400	0	-1.75	Unknown
CAE78443.1	20565000	19717000	26247000	27515000	0	4.66	Outer Membrane
CAE78446.1	5411000	5959100	6637400	3449700	0	-1.69	Cytoplasmic
CAE78447.1	8581800	10610000	7862300	10042000	NA	NA	Cytoplasmic
CAE78451.1	NA	NA	NA	NA	0	3.7	Cytoplasmic Membrane
CAE78452.1	23828000	29311000	38925000	38721000	0	-0.443	NA
CAE78453.1	39237000	41284000	48187000	50074000	0	-0.686	NA
CAE78454.1	26737000	25062000	24988000	27240000	0	0.249	NA
CAE78455.1	31451000	32761000	33773000	30532000	0	0.147	Cytoplasmic
CAE78456.1	6652100	6616100	6898200	8231400	0	NA	Unknown
CAE78457.1	3528900	2935700	3683000	3416500	0	1.56	NA
CAE78458.1	252980000	292800000	296650000	290290000	0	2.04	Cytoplasmic Membrane
CAE78459.1	96090000	101700000	103400000	104170000	0	1.94	Cytoplasmic Membrane
CAE78460.1	10464000	10209000	11355000	12289000	0	1.36	NA
CAE78462.1	4151200	4185600	3820500	4553500	NA	NA	Unknown
CAE78464.1	26217000	25513000	24740000	24756000	0	2.43	Cytoplasmic Membrane
CAE78465.1	36499000	36489000	34756000	34433000	0	-1.49	Cytoplasmic
CAE78466.1	7301300	5600600	7952400	6650700	0	4	NA
CAE78467.1	22427000	24495000	24860000	25945000	0	3.32	Unknown
CAE78469.1	3160200	2838400	3040500	2914100	0	0.176	Cytoplasmic
CAE78471.1	4538700	4553500	4798800	5270100	0	5.24	Unknown
CAE78472.1	758270000	752950000	819840000	818470000	0	-1.24	Cytoplasmic
CAE78473.1	1214900000	1.28E+09	1410900000	1348900000	0	0.166	Cytoplasmic
CAE78474.1	NA	NA	NA	NA	0	4.32	Unknown
CAE78477.1	96953000	102470000	110890000	114480000	0	4.03	Outer Membrane
CAE78479.1	27015000	29512000	27696000	25855000	0	0.357	Unknown
CAE78480.1	79837000	78351000	89564000	89586000	0	-0.925	Cytoplasmic
CAE78485.1	13420000	14704000	14173000	14513000	0	-4.98	Cytoplasmic
CAE78486.1	102290000	104200000	102760000	102480000	0	-1.59	Cytoplasmic
CAE78489.1	1745500	2052000	2038100	2011100	0	-1.52	Unknown
CAE78490.1	22204000	23970000	23444000	26368000	1	-0.657	Cytoplasmic
CAE78494.1	694180	771410	779850	838030	NA	NA	Unknown
CAE78495.1	5724700	5395500	6507000	6319500	0	2.52	Cytoplasmic Membrane
CAE78498.1	NA	NA	NA	NA	0	2.65	Unknown
CAE78499.1	53741000	64856000	59618000	60063000	0	-1.99	Cytoplasmic
CAE78500.1	36541000	39166000	41655000	42030000	0	1	NA
